Name,LONG,LAT,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20
GenSP,-80.4375,-2.56249999999996,24.2573337554932,26.0813331604004,22.5366668701172,387.999999999997,129,3.00000000000013,126.695053100587,290.999999999998,16.9999999999996,260,17.9999999999995,9.35800075531004,71.1094284057614,148.864486694337,30.6000003814698,17.4400005340576,13.1599998474121,25.957332611084,22.9846668243408,0.662650070892637
GenSP,-80.2708333333333,-2.35416666666663,24.6618328094482,26.1966667175293,23.207332611084,657,155,9.00000000000009,104.803733825683,436.999999999999,33.0000000000002,374.999999999999,40.0000000000003,9.43633270263672,74.4425201416015,125.801002502441,30.7439994812012,18.068000793457,12.6759986877441,26.0646667480469,23.2600002288818,0.641265247099646
GenSP,-80.2291666666666,-4.31249999999996,24.7735004425049,26.3333339691162,23.2193336486816,486.000000000003,235.000000000001,0,170.091064453125,421.000000000002,1.00000000000009,379.000000000002,3.00000000000009,11.6603336334229,78.9567565917969,131.203628540039,31.6560001373291,16.8880004882812,14.7679996490479,26.2946662902832,23.2706680297852,0.401481639331973
GenSP,-80.1041666666666,-1.31249999999996,24.3145008087158,25.7453327178955,22.9086666107178,1277,341,3,113.101943969727,830,18.9999999999997,817,18.9999999999997,9.4283332824707,74.2388458251954,116.427757263183,30.4440002441406,17.7439994812012,12.7000007629394,25.6186676025391,22.9086666107178,0.264528825630378
GenSP,-80.1041666666666,-2.31249999999996,24.9341659545898,26.2180004119873,23.7013339996338,828.000000000004,199.000000000001,3,114.905784606934,574.000000000003,15.9999999999998,510.000000000003,23.9999999999998,9.48433303833007,76.7837905883789,107.196533203125,30.7919998168945,18.4400005340576,12.3519992828369,26.0799999237061,23.7639999389648,0.541157370610462
GenSP,-80.0208333333333,-5.06249999999996,22.6286659240723,24.3880004882813,21.0153331756592,286.999999999998,129.999999999999,0,155.921463012696,231.999999999999,0.999999999999975,220.999999999999,0.999999999999975,11.6146659851074,77.3280105590819,143.708847045899,29.7159996032715,14.6960000991821,15.0199995040894,24.3400001525879,21.0153331756592,0.60993241320328
GenSP,-79.9375,-6.10416666666663,23.1653327941895,26.1306667327881,20.5853328704834,109.999999999998,53.9999999999993,1.99999999999986,144.062316894533,78.9999999999989,5.99999999999972,71.999999999999,7.99999999999972,12.0520000457764,66.4534606933593,231.249801635743,32.6640014648438,14.5279998779297,18.1360015869141,26.0553340911865,21.4080009460451,0.74399840809568
GenSP,-79.8958333333333,-6.18749999999996,23.0693340301514,26.0773334503174,20.4606666564941,92,50,0.999999999999972,158.767440795899,71.0000000000001,4.99999999999989,66,4.99999999999989,12.0139999389648,66.0545425415039,234.802825927734,32.6679992675781,14.4799995422363,18.1879997253418,26.0126667022705,20.7766666412354,0.738105283061456
GenSP,-79.7708333333333,-0.479166666666625,24.1751670837402,25.0419998168945,23.5340003967285,1839,398.999999999999,15.9999999999999,100.041366577148,1111,60.9999999999998,844.999999999999,60.9999999999998,8.24833393096924,79.5250091552734,64.9623870849609,29.576000213623,19.2040004730225,10.3719997406006,24.738000869751,23.5340003967285,0.210696965533477
GenSP,-79.7708333333333,-5.81249999999996,23.0873336791992,25.4426670074463,20.9780006408691,174.999999999999,92.9999999999997,2.8421709430404e-14,167.861785888672,140,2.00000000000006,133.999999999999,3.00000000000003,11.2513332366943,70.444107055664,186.762405395508,31.0920009613037,15.1199998855591,15.9720010757446,25.3793334960938,21.1853332519531,0.680850611272912
GenSP,-79.6041666666666,-5.60416666666663,19.1714992523192,19.8426666259764,18.5319995880125,521.000000000012,163,1.00000000000063,113.558517456052,352.000000000002,8.00000000000242,326.999999999986,8.00000000000258,11.7243337631226,84.8851242065432,59.8115806579567,25.9759998321531,12.163999557495,13.8120002746582,19.7899990081785,18.5319995880126,0.481540178749289
GenSP,-79.4791666666666,-0.312499999999957,24.4449996948242,25.304666519165,23.8193340301514,2682.00000000001,512.000000000001,40.0000000000004,87.9304351806639,1465,141.000000000001,1201,159.000000000001,8.2586669921875,79.227424621582,64.9875030517578,29.9519996643066,19.5279998779297,10.423999786377,24.982666015625,23.829999923706,0.218164131681297
GenSP,-79.4791666666666,-4.35416666666663,21.3371658325196,21.4846668243409,21.0673332214356,881.000000000001,221,4.00000000000008,93.4775390624997,517.999999999999,20.0000000000005,234.000000000001,20.0000000000005,12.4216661453247,86.986457824707,19.7560558319091,28.6040000915528,14.3240003585816,14.2799997329712,21.3726673126221,21.0673332214356,0.61317628220843
GenSP,-79.3541666666666,-5.06249999999996,15.0786666870118,15.2679996490479,14.7586669921875,1250,197,46.0000000000003,47.8414535522458,527.999999999999,173.000000000001,307.000000000001,200.000000000001,10.8106670379639,87.1828002929687,24.5210399627686,21.4759998321534,9.07600021362309,12.3999996185303,15.1966667175293,14.8666667938233,0.522580316260818
GenSP,-79.3125,-3.93749999999996,18.9291667938232,19.2080001831054,18.579999923706,735.000000000006,151.000000000001,20.9999999999994,65.9012908935552,365.000000000004,72.9999999999985,137.000000000003,74.9999999999982,11.0543327331543,84.7724990844726,24.9746570587158,25.7999992370605,12.7600002288818,13.0399990081787,18.9353332519531,18.7513332366943,0.716314115194506
GenSP,-79.3125,-6.18749999999996,10.8916664123534,11.2740001678465,10.2933330535887,980.000000000018,189.000000000003,26.0000000000009,54.6302299499512,411.000000000008,106.000000000002,270.000000000006,106.000000000002,12.1499996185303,86.9845428466796,41.5267601013185,17.7999992370604,3.83200001716597,13.967999458313,11.2473335266112,10.2933330535887,0.366030193219323
GenSP,-79.3125,-6.60416666666663,21.7993335723878,24.0359992980958,19.8006668090821,207.999999999992,86.999999999996,1,136.875076293944,151.999999999994,3.99999999999985,149.999999999994,4.99999999999985,11.333999633789,71.7705154418941,177.622207641605,29.9400005340578,14.1479997634888,15.7920007705689,24.0046672821046,19.96266746521,0.702835195193825
GenSP,-79.2708333333333,-4.06249999999996,17.2596664428712,17.5613327026368,16.8473339080812,841.999999999997,143.000000000001,26.9999999999995,51.9261474609385,370.000000000002,97.9999999999983,188.999999999998,99.9999999999983,10.4860000610352,83.2750930786135,28.7566299438473,23.8920001983644,11.300000190735,12.5920000076294,17.2993335723878,17.0133323669435,0.705418897564023
GenSP,-79.1041666666666,-6.0208333333333,18.2940006256104,18.873332977295,17.5499992370606,602.000000000002,119,15.0000000000001,62.0548553466794,285,52.0000000000004,261,52.0000000000004,11.7626667022705,85.9090423583984,57.6282043457032,24.988000869751,11.2960004806519,13.6920003890991,18.8579998016358,17.5499992370606,0.688531187977428
GenSP,-79.1041666666666,-7.85416666666663,20.5793323516845,23.3853321075439,18.3506660461426,30.0000000000016,12.0000000000008,0,106.55683898926,24.0000000000015,0,24.0000000000015,0,10.8380002975464,67.0004959106447,207.554107666014,29.3239994049072,13.1479997634887,16.1759986877441,23.3853321075439,19.3393325805664,0.802753180161372
GenSP,-79.0625,-3.27083333333329,11.6133337020872,12.1013336181639,10.6386661529539,759.000000000026,110.000000000002,32.0000000000017,39.0834503173819,298.000000000007,107.000000000006,213.000000000003,112.000000000005,10.8420000076294,82.6623916625976,64.6683502197266,18.4920005798338,5.37599992752059,13.1160011291504,12.0806665420531,10.7460002899168,0.60182156397561
GenSP,-78.9375,-4.47916666666663,16.645166397095,17.0053329467776,16.1846675872805,1309.99999999999,155.000000000001,71.9999999999986,24.9004631042489,442.000000000001,242.999999999995,292.999999999996,271.999999999995,9.89100074768074,83.7652435302736,33.452537536621,22.9720001220706,11.1639995574953,11.8080005645753,16.7000007629397,16.3186664581301,0.694338810374998
GenSP,-78.8541666666666,-7.97916666666663,19.9816665649414,22.1219997406005,18.207332611084,79.0000000000038,32.0000000000014,0,134.768310546875,66.000000000003,0,66.000000000003,5.6843418860808e-14,11.130000114441,72.6501312255862,160.314682006834,27.9080009460449,12.5880002975463,15.3200006484985,22.1219997406005,18.9780006408691,0.744355124911516
GenSP,-78.8125,-5.43749999999996,23.9256668090819,24.7506675720213,22.9593334197997,1026.99999999999,136.999999999998,44.9999999999984,33.5044517517095,374.999999999994,153.999999999995,355.999999999997,185.999999999993,11.4353332519531,85.2111282348633,74.1156845092761,30.3159999847411,16.8959999084471,13.4200000762939,24.460666656494,23.1033325195311,0.710351922918093
GenSP,-78.8125,-5.93749999999996,20.0918331146244,20.6266670227056,19.3700008392337,743.999999999961,104.999999999998,21.9999999999979,42.6723594665546,280.99999999999,85.9999999999934,268.999999999989,87.999999999994,11.3696660995483,86.3956451416012,55.2118148803764,26.4720001220707,13.3120002746586,13.1599998474122,20.5960006713872,19.4726676940921,0.726324417412842
GenSP,-78.7708333333333,-3.10416666666663,12.2034997940063,12.6813335418701,11.2279996871948,879.000000000001,105,52.9999999999998,22.0041046142579,289.000000000001,176.999999999999,197.000000000001,191.999999999999,11.0289993286133,82.7257690429688,64.3357162475586,19.1319999694824,5.80000019073483,13.3319997787476,12.5386667251587,11.3466663360595,0.690870294372066
